##name	Roget II: the new thesaurus
##sourceLang	English
##targetLang	English
##bgl_defaultCharset	cp22
##bgl_sourceCharset	cp22
##bgl_targetCharset	cp22
##bgl_defaultEncoding	cp22
##bgl_sourceEncoding	utf
##bgl_targetEncoding	utf
##sourceCharset	UTF-8
##targetCharset	UTF-8
##caseSensitive	
##spellingAlternatives	
##utfEncoding	
##bgl_lastUpdated	21/0/1, 2:0
##bgl_middleUpdated	21/0/1, 2:0
##author	Ebrahim Mehri
##email	ebrahim.mehri@gmail.com
##browsingEnabled	
##bgl_creationTime	21/0/1, 1:4
##description	
insolvency	pos: noun The condition of being financially insolvent: bankruptcy, bust, failure. 
inspect	pos: verb 1. To study closely or systematically: analyze, examine, investigate. 2. To look at carefully or critically: check (out), con, examine, go over, peruse, scrutinize, study, survey, traverse, view.  case.  give a going-over. 3. To examine the person or personal effects of in order to find something lost or concealed: frisk, search.  shake down. 
inspection	pos: noun 1. The act of examining carefully: check, checkup, examination, perusal, scrutiny, study, view.  going-over. 2. A close or systematic study: analysis, examination, investigation, review, survey. 
inspiration	pos: noun 1. High spirits: animation, elatedness, elation, euphoria, exaltation, exhilaration, lift, uplift. 2. Liveliness and vivacity of imagination: brilliance, brilliancy, fire, genius. 3. Something that encourages: encouragement, motivation, stimulation. 4. A sudden exciting thought: brainstorm.  brain wave. 5. Divine guidance and motivation imparted directly: afflatus. 6. The act of breathing in: inhalation. 
inspire	pos: verb 1. To arouse the emotions of; make ardent: animate, enkindle, fire, impassion, kindle, stir. 2. To raise the spirits of: animate, buoy (up), elate, elevate, exhilarate, flush, inspirit, lift, uplift.  exalt. 3. To impart courage, inspiration, and resolution to: animate, cheer (on), embolden, encourage, inspirit, motivate. 4. To stir to action or feeling: egg on, excite, foment, galvanize, goad, impel, incite, inflame, instigate, motivate, move, pique, prick, prod, prompt, propel, provoke, set off, spur, stimulate, touch off, trigger, work up. 5. To draw air into the lungs in the process of respiration: breathe (in), inhale. 
inspirit	pos: verb 1. To impart courage, inspiration, and resolution to: animate, cheer (on), embolden, encourage, inspire, motivate. 2. To raise the spirits of: animate, buoy (up), elate, elevate, exhilarate, flush, inspire, lift, uplift.  exalt. 
inspissate	pos: verb To make thick or thicker, especially through evaporation or condensation: condense, thicken. 
instability	pos: noun 1. The quality or condition of being physically unsteady: precariousness, ricketiness, shakiness, unstableness, unsteadiness, wobbliness. 2. The quality or condition of being erratic and undependable: insecureness, insecurity, precariousness, shakiness, unstableness, unsteadiness, unsureness. 
instal	pos: verb 
install	pos: verb 1. To put in or assign to a certain position or location: emplace, locate, place, position, set, site, situate, spot. 2. To admit formally into membership or office, as with ritual: inaugurate, induct, initiate, instate, invest. 3. To place securely in a position or condition: ensconce, establish, fix, seat, settle. 
installation	pos: noun 1. The act or process of formally admitting a person to membership or office: inaugural, inauguration, induction, initiation, instatement, investiture. 2.  A center of organization, supply, or activity: base, complex, headquarters, station. 
instance	pos: noun 1. One that is representative of a group or class: case, example, illustration, representative, sample, specimen. 2. A legal proceeding to demand justice or enforce a right: action, case, cause, lawsuit, suit. 3.  Urgent solicitation: insistence, insistency, pressing. pos: verb 1. To refer to by name: cite, mention, name, specify. 2. To .. demonstrate and clarify with examples: exemplify, illustrate. 
instant	pos: noun 1. A very brief time: crack, flash, minute, moment, second, trice, twinkle, twinkling, wink.  jiff, jiffy.  tick. 2. A particular interval of time that is limited and often crucial: juncture, moment, point. pos: adjective 1. Occurring at once: immediate, instantaneous. 2. Compelling immediate attention: burning, crying, dire, emergent, exigent, imperative, pressing, urgent. pos: adverb Without delay: directly, forthwith, immediately, instantly, now, right away, right off, straightaway, straight off.  at once, first off. 
instantaneous	pos: adjective Occurring at once: immediate, instant. 
instantly	pos: adverb Without delay: directly, forthwith, immediately, instant, now, right away, right off, straightaway, straight off.  at once, first off. 
instate	pos: verb To admit formally into membership or office, as with ritual: inaugurate, induct, initiate, install, invest. 
instatement	pos: noun The act or process of formally admitting a person to membership or office: inaugural, inauguration, induction, initiation, installation, investiture. 
instigate	pos: verb To stir to action or feeling: egg on, excite, foment, galvanize, goad, impel, incite, inflame, inspire, motivate, move, pique, prick, prod, prompt, propel, provoke, set off, spur, stimulate, touch off, trigger, work up. 
instigation	pos: noun Something that incites especially a violent response: goad, incitation, incitement, provocation, stimulus, trigger. 
instigator	pos: noun One who agitates, especially politically: agitator, fomenter, inciter. 
instil	pos: verb 
instill	pos: verb  To fix (an idea, for example) in someone's mind by reemphasis and repetition: drill, drive, implant, impress, inculcate, pound. 
instinct	pos: noun 1. An innate capability: aptitude, aptness, bent, faculty, flair, genius, gift, head, knack, talent, turn. 2. The power to discern the true nature of a person or situation: insight, intuition, intuitiveness, penetration, sixth sense. 
instinctive	pos: adjective 1. Derived from or prompted by a natural tendency or impulse: instinctual, intuitive, visceral. 2. Acting or happening without apparent forethought, prompting, or planning: automatic, impulsive, involuntary, reflex, spontaneous, unpremeditated. 
instinctual	pos: adjective Derived from or prompted by a natural tendency or impulse: instinctive, intuitive, visceral. 
institute	pos: verb 1. To bring into existence formally: constitute, create, establish, found, organize, originate, set up, start. 2. To go about the initial step in doing (something): approach, begin, commence, embark, enter, get off, inaugurate, initiate, launch, lead off, open, set about, set out, set to, start, take on, take up, undertake.  kick off.  get cracking, get going, get the show on the road. pos: noun A principle governing affairs within or among political units: canon, decree, edict, law, ordinance, precept, prescription, regulation, rule. 
institution	pos: noun The act of founding or establishing: constitution, creation, establishment, foundation, organization, origination, start-up. 
institutionalize	pos: verb To place officially in confinement: commit, consign.  send up. 
instruct	pos: verb 1. To impart knowledge and skill to: coach, discipline, educate, school, teach, train, tutor. 2. To give orders to: bid, charge, command, direct, enjoin, order, tell. 
instructed	pos: adjective Provided with information; made aware: acquainted, advised, educated, enlightened, informed, knowledgeable. 
instruction	pos: noun 1. The act, process, or art of imparting knowledge and skill: education, pedagogics, pedagogy, schooling, teaching, training, tuition, tutelage, tutoring. 2. Known facts, ideas, and skill that have been imparted: education, erudition, knowledge, learning, scholarship, science. 3. An authoritative indication to be obeyed. Often used in plural: behest, bidding, charge, command, commandment, dictate, direction, directive, injunction, mandate, order, word. 
instructional	pos: adjective Serving to educate or inform: edifying, educational, educative, enlightening, illuminative, informative, instructive. 
instructive	pos: adjective Serving to educate or inform: edifying, educational, educative, enlightening, illuminative, informative, instructional. 
instructor	pos: noun One who educates: educator, pedagogue, teacher, trainer, tutor. 
instrument	pos: noun 1. That by which something is accomplished or some end achieved: agency, agent, instrumentality, instrumentation, intermediary, mean (used in plural), mechanism, medium, organ. 2. A person used or controlled by others: cat's-paw, dupe, pawn, puppet, stooge, tool. 3. A device used to do work or perform a task: implement, tool, utensil. 
instrumentality	pos: noun That by which something is accomplished or some end achieved: agency, agent, instrument, instrumentation, intermediary, mean (used in plural), mechanism, medium, organ. 
instrumentation	pos: noun That by which something is accomplished or some end achieved: agency, agent, instrument, instrumentality, intermediary, mean (used in plural), mechanism, medium, organ. 
insubordinate	pos: adjective Refusing or failing to obey: disobedient, non-compliant. 
insubordination	pos: noun The condition or practice of not obeying: disobedience, noncompliance. 
insubstantial	pos: adjective 1. Having no body, form, or substance: bodiless, discarnate, disembodied, immaterial, incorporeal, metaphysical, nonphysical, spiritual, unbodied, uncorporal, unsubstantial. 2. Having little substance or significance; not solidly based: feeble, flimsy, tenuous, unsubstantial. 3. Not physically strong: decrepit, delicate, feeble, flimsy, fragile, frail, infirm, puny, unsound, unsubstantial, weak, weakly. 
insubstantiality	pos: noun The condition of being infirm or physically weak: debility, decrepitude, delicacy, delicateness, feebleness, flimsiness, fragileness, fragility, frailness, frailty, infirmity, puniness, unsoundness, unsubstantially, weakliness, weakness. 
insufferable	pos: adjective So unpleasant or painful as not to be endured or tolerated: impossible, insupportable, intolerable, unbearable, unendurable, unsufferable, unsupportable. 
insufficiency	pos: noun The condition or fact of being deficient: defect, deficiency, deficit, inadequacy, lack, paucity, poverty, scantiness, scantness, scarceness, scarcity, shortage, shortcoming, shortfall, underage. 
insufficient	pos: adjective Not enough to meet a demand or requirement: deficient, inadequate, scarce, short, shy, under, wanting. 
insular	pos: adjective 1. Far from centers of human population: back, isolated, lonely, lonesome, obscure, outlying, out-of-the-way, remote, removed, secluded, solitary.  off the beaten path ( track). 2. Having the restricted outlook often characteristic of geographic isolation: limited, local, narrow, narrow-minded, parochial, provincial, small-town. 
insulate	pos: verb To set apart from a group: close off, cut off, isolate, seclude, segregate, separate, sequester. 
insulation	pos: noun The act or process of isolating: isolation, segregation, separation, sequestration. 
insult	pos: verb To cause resentment or hurt by callous, rude behavior: affront, huff, miff, offend, outrage, pique.  add insult to injury, give offense to. pos: noun 1. An act that offends a person's sense of pride or dignity: affront, contumely, despite, indignity, offense, outrage, slight.  slap in the face. 2. An instance of mockery or derision: gibe, jeer, scoff, taunt, twit. 
insuperable	pos: adjective Incapable of being negotiated or overcome: impassable, insurmountable. 
insupportable	pos: adjective So unpleasant or painful as not to be endured or tolerated: impossible, insufferable, intolerable, unbearable, unendurable, unsufferable, unsupportable. 
insure	pos: verb To render certain: assure, ensure, guarantee, secure, warrant.  cinch. 
insurgence	pos: noun Organized opposition intended to change or overthrow existing authority: insurgency, insurrection, mutiny, rebellion, revolt, revolution, sedition, uprising. 
insurgency	pos: noun Organized opposition intended to change or overthrow existing authority: insurgence, insurrection, mutiny, rebellion, revolt, revolution, sedition, uprising. 
insurgent	pos: adjective Participating in open revolt against a government or ruling authority: mutinous, rebellious, revolutionary. pos: noun A person who rebels: insurrectionary, insurrectionist, mutineer, rebel, revolutionary, revolutionist. 
insurmountable	pos: adjective Incapable of being negotiated or overcome: impassable, insuperable. 
insurrection	pos: noun Organized opposition intended to change or overthrow existing authority: insurgence, insurgency, mutiny, rebellion, revolt, revolution, sedition, uprising. 
insurrectionary	pos: noun A person who rebels: insurgent, insurrectionist, mutineer, rebel, revolutionary, revolutionist. 
insurrectionist	pos: noun A person who rebels: insurgent, insurrectionary, mutineer, rebel, revolutionary, revolutionist. 
insusceptibility	pos: noun The capacity to withstand: immunity, imper-viousness, resistance, unsusceptibility. 
insusceptible	pos: adjective 1. Not capable of being affected or impressed: impassible, impassive, insensitive, unimpressionable, unsusceptible. 2. Having the capacity to withstand: immune, impervious, proof, resistant, resistive, unsusceptible. 
intact	pos: adjective 1. Lacking nothing essential or normal: complete, entire, full, integral, perfect, whole. 2. In excellent condition: entire, flawless, good, perfect, sound, unblemished, unbroken, undamaged, unharmed, unhurt, unimpaired, uninjured, unmarred, whole. 
intangible	pos: adjective Incapable of being apprehended by the mind or the senses: impalpable, imperceptible, imponderable, inappreciable, indiscernible, indistinguishable, insensible, invisible, unnoticeable, unobservable. 
integral	pos: adjective 1. Constituting or forming part of the essence of something: basic, constitutional, constitutive, essential, fundamental, vital. 2. Lacking nothing essential or normal: complete, entire, full, intact, perfect, whole. pos: noun An organized array of individual elements and parts forming and working as a unit: entity, sum, system, totality, whole. 
integrant	pos: noun One of the individual entities contributing to a whole: building block, component, constituent, element, factor, ingredient, part. 
integrate	pos: verb 1. To make into a whole by joining a system of parts: articulate, concatenate. 2. To combine and adapt in order to attain a particular effect: arrange, blend, coordinate, harmonize, orchestrate, synthesize, unify. 3. To bring into accord: accommodate, attune, conform, coordinate, harmonize, proportion, reconcile, tune. 4. To construct or include as an integral or permanent part: build in, incorporate. 5. To make a part of a united whole: combine, embody, incorporate. 6. To open to all people regardless of race: desegregate. 
integration	pos: noun The act, process, or result of abolishing racial segregation: desegregation. 
integrity	pos: noun 1. Moral or ethical strength: character, fiber, honesty, principle. 2. The quality of being honest: honesty, honor, honorableness, incorruptibility, upstandingness. 3. The condition of being free from defects or flaws: durability, firmness, solidity, soundness, stability, strength, wholeness. 4. The state of being entirely whole: completeness, entirety, oneness, totality, wholeness. 
integument	pos: noun The tissue forming the external covering of the body: epidermis, skin. 
intellect	pos: noun 1. The faculty of thinking, reasoning, and acquiring and applying knowledge: brain (often used in plural), brainpower, intelligence, mentality, mind, sense, understanding, wit.  smart (used in plural). 2. A person of great mental ability: brain, intellectual, mind, thinker. 
intellective	pos: adjective Relating to or performed by the mind: cerebral, intellectual, mental, psychic, psychical, psychological. 
intellectual	pos: adjective 1. Relating to or performed by the mind: cerebral, intellective, mental, psychic, psychical, psychological. 2. Appealing to or engaging the intellect: cerebral, sophisticated, thoughtful.  highbrow. 3. Having or showing intelligence, often of a high order: brilliant, intelligent, knowing, knowledgeable.  brainy. pos: noun A person of great mental ability: brain, intellect, mind, thinker. 
intelligence	pos: noun 1. The faculty of thinking, reasoning, and acquiring and applying knowledge: brain (often used in plural), brainpower, intellect, mentality, mind, sense, understanding, wit.  smart (used in plural).  2.That which is known about a specific subject or situation: data, fact (used in plural), information, knowledge, lore. 3. New information, especially about recent events and happenings: advice (often used in plural), news, tiding (often used in plural), word.  scoop. 
intelligent	pos: adjective 1. Having or showing intelligence, often of a high order: brilliant, intellectual, knowing, knowledgeable.  brainy. 2. Mentally quick and original: alert, bright, clever, keen, quick, quick-witted, sharp, sharp-witted, smart.  smart as a whip. 3. Consistent with reason and intellect: consequent, logical, rational, reasonable. 
intelligible	pos: adjective Capable of being readily understood: comprehensible, fathomable, knowable, understandable. 
intemperance	pos: noun Immoderate indulgence, as in food or drink: excess, overindulgence, surfeit. 
intend	pos: verb 1. To have in mind as a goal or purpose: aim, contemplate, design, mean, plan, project, propose, purpose, target.  mind. 2. To have or convey a particular idea: connote, denote, import, mean, signify, spell.  add up to. 
intended	pos: adjective 1. Done or said on purpose: deliberate, intentional, purposeful, voluntary, willful, witting. 2. Pledged to marry: affianced, betrothed, engaged, plighted. pos: noun  A person to whom one is engaged to be married: betrothed, fiancé, fiancée. 
intense	pos: adjective 1. Extreme in degree, strength, or effect: desperate, fierce, furious, terrible, vehement, violent. 2. Intensely sustained, especially in activity: concentrated, fierce, heavy, heightened, intensive. 3. Resulting from or affecting one's innermost feelings: deep, profound, strong. 
intensify	pos: verb To make greater in intensity or severity: aggravate, deepen, enhance, heighten, redouble. 
intensity	pos: noun Exceptionally great concentration, power, or force, especially in activity: depth (often used in plural), ferociousness, ferocity, fierceness, fury, pitch, severity, vehemence, vehemency, violence. 
intensive	pos: adjective 1. Intensely sustained, especially in activity: concentrated, fierce, heavy, heightened, intense. 2. Covering all aspects with painstaking accuracy: all-out, complete, exhaustive, full-dress, thorough, thoroughgoing, thoroughpaced. 3. Not diffused or dispersed: concentrated, exclusive, undivided, unswerving, whole. 
intensively	pos: adverb In a complete manner: completely, exhaustively, thoroughly.  in and out, inside out, up and down. 
intent	pos: noun 1. What one intends to do or achieve: aim, ambition, design, end, goal, intention, mark, meaning, object, objective, point, purpose, target, view, why.  end in view, why and wherefore. 2. The thread or current of thought uniting or occurring in all the elements of a text or discourse: aim, burden, drift, meaning, purport, substance, tendency, tenor, thrust. 3. That which is signified by a word or expression: acceptation, connotation, denotation, import, meaning, message, purport, sense, significance, significancy, signification, value. pos: adjective 1. Concentrating the mental powers on something: attentive, heedful, regardful.  all ears ( eyes). 2. Having one's thoughts fully occupied: absorbed, deep, preoccupied, rapt.  wrapped up in. 3. On an unwavering course of action: bent, decided, determined, fixed, resolute, set. 
intention	pos: noun What one intends to do or achieve: aim, ambition, design, end, goal, intent, mark, meaning, object, objective, point, purpose, target, view, why.  end in view, why and wherefore. 
intentional	pos: adjective 1. Done or said on purpose: deliberate, intended, purposeful, voluntary, willful, witting. 2. Planned, weighed, or estimated in advance: calculated, considered, deliberate, premeditated. 
inter	pos: verb To place (a corpse) in or as if in a grave: bury, entomb, inhume, lay.  lay ( put) to rest. 
interceder	pos: noun Someone who acts as an intermediate agent in a transaction or helps to resolve differences: broker, go-between, intercessor, intermediary, intermediate, intermediator, mediator, middleman. 
intercept	pos: verb To block the progress of and force to change direction: cut off, head off. 
intercessor	pos: noun Someone who acts as an intermediate agent in a transaction or helps to resolve differences: broker, go-between, interceder, intermediary, intermediate, intermediator, mediator, middleman. 
interchange	pos: verb 1. To give up in return for something else: change, commute, exchange, shift, substitute, switch, trade.  swap. 2. To give and receive: bandy, exchange. 3. To do, use, or occur in successive turns: alternate, rotate. pos: noun 1. The act of exchanging or substituting: change, commutation, exchange, shift, substitution, switch, trade, transposition.  swap. 2. Occurrence in successive turns: alternation, rotation. 
intercommunication	pos: noun 1. The exchange of ideas by writing, speech, or signals: communication, communion, intercourse.  converse. 2. A situation allowing exchange of ideas or messages: communication, contact, touch. 
interconnection	pos: noun A logical or natural association between two or more things: connection, correlation, interdependence, interrelationship, link, linkage, relation, relationship, tie-m.  hookup. 
intercourse	pos: noun The exchange of ideas by writing, speech, or signals: communication, communion, intercommunication.  converse. 
interdependence	pos: noun A logical or natural association between two or more things: connection, correlation, interconnection, interrelationship, link, linkage, relation, relationship, tie-in.  hookup. 
interdict	pos: verb To refuse to allow: ban, debar, disallow, enjoin, forbid, inhibit, outlaw, prohibit, proscribe, taboo. pos: noun A coercive measure intended to ensure compliance or conformity: interdiction, penalty, sanction. 
interdiction	pos: noun 1. A refusal to allow: ban, disallowance, for-biddance, inhibition, prohibition, proscription, taboo. 2. A coercive measure intended to ensure compliance or conformity: interdict, penalty, sanction. 
interest	pos: noun 1. Mental acquisitiveness: curiosity, curiousness, inquisitiveness.  thirst for knowledge. 2. Curiosity about or attention to someone or something: concern, concernment, interestedness, regard. 3. Something that contributes to or increases one's well-being. Often used in plural: advantage, benefit, good, profit. 4. A right or legal share in something: claim, portion, stake, title. pos: verb To arouse the interest and attention of: attract, intrigue.  turn on. 
interested	pos: adjective Having concern: affected, concerned, involved. 
interestedness	pos: noun Curiosity about or attention to someone or something: concern, concernment, interest, regard. 
interfere	pos: verb To intervene officiously or indiscreetly in the affairs of others: butt in, horn in, interlope, meddle. 
interference	pos: noun The act or an instance of interfering or intruding: intervention, intrusion, meddling, obtrusion. 
interfering	pos: adjective Given to intruding in other people's affairs: intrusive, meddlesome, meddling, obtrusive, officious. 
interim	pos: noun An interval during which continuity is suspended: break, gap, hiatus, lacuna, void. pos: adjective 1. Intended, used, or present for a limited time: impermanent, provisional, short-range, short-term, temporary. 2. Temporarily assuming the duties of another: acting, ad interim, pro tern, provisional, temporary. 
interior	pos: adjective 1. Located inside or farther in: inlying, inner, inside, internal. 2. Of, relating to, or arising from one's mental or spiritual being: inner, internal, intimate, inward, visceral.  gut. 
interject	pos: verb To put or set into, between, or among another or other things: inject, insert, interlard, interpolate, interpose, introduce. 
interlard	pos: verb To put or set into, between, or among another or other things: inject, insert, interject, interpolate, interpose, introduce. 
interlope	pos: verb To intervene officiously or indiscreetly in the affairs of others: butt in, horn in, interfere, meddle. 
interloper	pos: noun A person given to intruding in other people's affairs: busybody, meddler, quidnunc.  kibitzer.  buttinsky.  pragmatic. 
intermediary	pos: noun 1. Someone who acts as an intermediate agent in a transaction or helps to resolve differences: broker, go-between, interceder, intercessor, intermediate, intermediator, mediator, middleman. 2. That by which something is accomplished or some end achieved: agency, agent, instrument, instrumentality, instrumentation, mean (used in plural), mechanism, medium, organ. 
intermediate	pos: adjective Not extreme: central, mean, medial, median, mid, middle, middle-of-the-road, midway. pos: noun Someone who acts as an intermediate agent in a transaction or helps to resolve differences: broker, go-between, interceder, intercessor, intermediary, intermediator, mediator, middleman. 
intermediator	pos: noun Someone who acts as an intermediate agent in a transaction or helps to resolve differences: broker, go-between, interceder, intercessor, intermediary, intermediate, mediator, middleman. 
interment	pos: noun An act of placing a body in a grave or tomb: burial, entombment, inhumation. 
interminable	pos: adjective Existing or occurring without interruption or end: around-the-clock, ceaseless, constant, continual, continuous, endless, eternal, everlasting, incessant, nonstop, ongoing, perpetual, persistent, relentless, round-the-clock, timeless, unceasing, unending, unfailing, uninterrupted, unremitting. 
intermingle	pos: verb To put together into one mass so that the constituent parts are more or less homogeneous: admix, amalgamate, blend, commingle, commix, fuse, intermix, merge, mingle, mix, stir. 
intermission	pos: noun 1. The condition of being temporarily inactive: abeyance, abeyancy, dormancy, latency, quiescence, suspension. 2. A pause or interval, as from work or duty: break, recess, respite, rest, time-out.  breather. 
intermittent	pos: adjective Happening or appearing now and then: fitful, occasional, periodic, periodical, sporadic.  on-again, off-again. 
intermittently	pos: adverb Once in a while; at times: betimes, occasionally, periodically, sometimes, sporadically.  ever and again ( anon), now and again ( then). 
intermix	pos: verb To put together into one mass so that the constituent parts are more or less homogeneous: admix, amalgamate, blend, commingle, commix, fuse, intermingle, merge, mingle, mix, stir. 
intern	pos: verb To put in jail: confine, detain, immure, imprison, incarcerate, jail, lock (up). 
internal	pos: adjective 1. Located inside or farther in: inlying, inner, inside, interior. 2. Of, relating to, or arising from one's mental or spiritual being: inner, interior, intimate, inward, visceral.  gut. 3. Of, from, or within a country's own territory: domestic, home, national, native. 
interpolate	pos: verb To put or set into, between, or among another or other things: inject, insert, interject, interlard, interpose, introduce. 
interpose	pos: verb To put or set into, between, or among another or other things: inject, insert, interject, interlard, interpolate, introduce. 
interpret	pos: verb 1. To make understandable: construe, decipher, explain, explicate, expound, spell out.  enucleate.  put into plain English. 2. To understand in a particular way: construe, read, take. 3. To perform according to one's artistic conception: execute, play, render. 
interpretable	pos: adjective Capable of being explained or accounted for: accountable, decipherable, explainable, explicable, lllustratable. 
interpretation	pos: noun 1. Something that serves to explain or clarify: clarification, construction, decipherment, elucidation, exegesis, explanation, explication, exposition, illumination, illustration.  enucleation. 2. Critical explanation or analysis: annotation, comment, commentary, exegesis, note. 3. One's artistic conception as shown by the way in which something such as a dramatic role or musical composition is rendered: execution, performance, reading, realization, rendering, rendition. 
interpretative	pos: adjective Serving to explain: elucidative, exegetic, explanative, explanatory, explicative, expositive, expository, hermeneutic, hermeneutical, illustrative, interpretive. 
interpretive	pos: adjective Serving to explain: elucidative, exegetic, explanative, explanatory, explicative, expositive, expository, hermeneutic, hermeneutical, illustrative, interpretative. 
interrelationship	pos: noun A logical or natural association between two or more things: connection, correlation, interconnection, interdependence, link, linkage, relation, relationship, tie-in.  hookup. 
interrogate	pos: verb To question thoroughly and relentlessly to verify facts: cross-examine.  grill.  give someone the third degree. 
interrogation	pos: noun A request for data: inquiry, query, question.  interrogatory. 
interrogator	pos: noun One who conducts an official inquiry, usually with no regard for human rights: inquisitor, questioner. 
interrogatory	pos: noun  A request for data: inquiry, interrogation, query, question. 
interrupt	pos: verb 1. To stop suddenly, as a conversation, activity, or relationship: break off, cease, discontinue, suspend, terminate. 2. To interject remarks or questions into another's discourse: break in, chime in, chip in, cut in. 
interruption	pos: noun A cessation of continuity or regularity: break, discontinuance, discontinuation, discontinuity, disruption, pause, suspension. 
intersect	pos: verb To pass through or over: crisscross, cross, crosscut, cut across, decussate. 
interspace	pos: noun A space or interval between objects or points: gap, interstice, interval, separation. 
interstice	pos: noun A space or interval between objects or points: gap, interspace, interval, separation. 
interval	pos: noun A space or interval between objects or points: gap, interspace, interstice, separation. 
intervention	pos: noun The act or an instance of interfering or intruding: interference, intrusion, meddling, obtrusion. 
intimacy	pos: noun The condition of being friends: chumminess, closeness, companionship, comradeship, familiarity, fellowship, friendship. 
intimate	pos: noun A person whom one knows well, likes, and trusts: amigo, brother, chum, confidant, confidante, familiar, friend, mate.  bud, buddy, pal.  sidekick. 
intimate	pos: adjective 1. Very closely associated: chummy, close, familiar, friendly.  thick.  tight.  hand in glove with. 2. Characterized by a close and thorough acquaintance: inside, personal. 3. Of, relating to, or arising from one's mental or spiritual being: inner, interior, internal, inward, visceral.  gut. 4. Indicating intimacy and mutual trust: confidential, familiar. 
intimate	pos: verb To convey an idea by indirect, subtle means: hint, imply, insinuate, suggest.  drop a hint. 
intimation	pos: noun 1. A subtle pointing out: clue, cue, hint, suggestion. 2. A slight amount or indication: breath, dash, ghost, hair, hint, semblance, shade, shadow, soupçon, streak, suggestion, suspicion, taste, tinge, touch, trace, whiff, whisper.  whisker. 
intimidate	pos: verb To domineer or drive into compliance by the use of as threats or force, for example: bludgeon, browbeat, bulldoze, bully, bullyrag, cow, hector, menace, threaten.  strong-arm. 
intimidation	pos: noun An expression of the intent to hurt or punish another: menace, threat. 
intimidator	pos: noun One who is habitually cruel to smaller or weaker people: browbeater, bulldozer, bully, hector.  brave. 
intolerable	pos: adjective So unpleasant or painful as not to be endured or tolerated: impossible, insufferable, insupportable, unbearable, unendurable, unsufferable, unsupportable. 
intolerance	pos: noun Irrational suspicion or hatred of a particular group, race, or religion: bigotry, prejudice. 
intolerant	pos: adjective 1. Not tolerant of the beliefs or opinions of others, for example: bigoted, close-minded, hidebound, illiberal, narrow-minded. 2. Being unable or unwilling to endure irritation or opposition, for example: fretful, impatient, unforbearing. 
intonation	pos: noun A particular vocal quality that indicates some emotion or feeling: accent, inflection, tone.  tone of voice. 
intoxicated	pos: adjective Stupefied, excited, or muddled with alcoholic liquor: besotted, crapulent, crapulous, drunk, drunken, inebriate, inebriated, sodden, tipsy.  cock-eyed, stewed.  blind, bombed, boozed, boozy, crocked, high, lit (up), loaded, looped, pickled, pixilated, plastered, potted, sloshed, smashed, soused, stinking, stinko, stoned, tight, zonked.  drunk as a skunk, half-seas over, high as a kite, in one's cups, three sheets in ( to) the wind. 
intoxicating	pos: adjective Producing or stimulating physical, mental, or emotional vigor: bracing, energizing, exhila-rant, exhilarating, innervmg, invigorating, refreshing, reinvigorating, renewing, restorative, roborant, stimulating, tonic. 
intoxication	pos: noun The condition of being intoxicated with alcoholic liquor: crapulence, drunkenness, inebriation, inebriety, insobriety, tipsiness. 
intoxicative	pos: adjective Containing alcohol: alcoholic, hard, spirituous, strong. 
intractability	pos: noun The quality or condition of being unruly: dis-orderliness, fractiousness, indocility, intracta-bleness, obstinacy, obstinateness, obstreperousness, recalcitrance, recalcitrancy, refractoriness, uncontrollability, uncontrollableness, ungov-ernableness, unmanageability, unruhness, unto-wardness, wildness. 
intractable	pos: adjective Not submitting to discipline or control: disorderly, fractious, indocile, lawless, obstinate, obstreperous, recalcitrant, refractory, uncontrollable, undisciplined, ungovernable, unmanageable, unruly, untoward, wild.  out of line. 
intractableness	pos: noun The quality or condition of being unruly: dis-orderliness, fractiousness, indocility, intractability, obstinacy, obstinateness, obstreperousness, recalcitrance, recalcitrancy, refractoriness, uncontrollability, uncontrollableness, ungov-ernableness, unmanageability, unruliness, unto-wardness, wildness. 
intransigence	pos: noun The quality or state of being stubbornly inflexible: die-hardism, grimness, implacability, implacableness, incompliance, incompliancy, inexorability, inexorableness, inflexibility, inflexibleness, intransigency, obduracy, obdurateness, relentlessness, remorselessness, rigidity, rigidness, stubbornness. 
intransigency	pos: noun The quality or state of being stubbornly inflexible: die-hardism, grimness, implacability, implacableness, incompliance, incomphancy, inexorability, inexorableness, inflexibility, inflexibleness, intransigence, obduracy, obdurateness, relentlessness, remorselessness, rigidity, rigidness, stubbornness. 
intransigent	pos: adjective Firmly, often unreasonably immovable in purpose or will: adamant, adamantine, brass-bound, die-hard, grim, implacable, incompli-ant, inexorable, inflexible, iron, obdurate, relentless, remorseless, rigid, stubborn, unbend-able, unbending, uncompliant, uncompromising, unrelenting, unyielding.  stubborn as a mule ( ox). 
intrepid	pos: adjective Having or showing courage: audacious, bold, brave, courageous, dauntless, doughty, fearless, fortitudinous, gallant, game, gutty, hardy, heroic, mettlesome, plucky, stout, stouthearted, unafraid, undaunted, valiant, valorous.  spunky.  gutsy. 
intrepidity	pos: noun The quality of mind enabling one to face danger or hardship resolutely: braveness, bravery, courage, courageousness, dauntlessness, doughtiness, fearlessness, fortitude, gallantry, gameness, heart, intrepidness, mettle, nerve, pluck, pluckiness, spirit, stoutheartedness, undauntedness, valiance, valiancy, valiantness, valor.  spunk, spunkiness.  gut (used in plural), gutsiness, moxie. 
